stroller,car_seat_brand,car_seat_model,adapter_sku,seat_group,pair_type
Alterrain,Graco,Snug Ride Snug Lock 30,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Graco,Snug Ride Snug Lock 30,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Graco,Snug Ride Snug Lock 30,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Graco,Snug Ride Snug Lock 30,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Rambler,Graco,Snug Ride Snug Lock 30,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Blaze,Graco,Snug Ride Snug Lock 30,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Ironman,Graco,Snug Ride Snug Lock 30,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Sports Utility,Graco,Snug Ride Snug Lock 30,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain Pro,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Rambler,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Blaze,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Ironman,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Sports Utility,Graco,Snug Ride Snug Lock 35,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain Pro,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Rambler,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Blaze,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Ironman,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Sports Utility,Graco,Snug Ride Snug Lock 35 DLX,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain Pro,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Rambler,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Blaze,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Ironman,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Sports Utility,Graco,Snug Ride Snug Lock 35 Elite,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain Pro,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Rambler,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Blaze,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Ironman,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Sports Utility,Graco,Snug Ride Snug Lock 35 Platinum,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain Pro,Graco,Snug Ride Snug Lock 35 Platinum XT,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Alterrain,Graco,Snug Ride Snug Lock 35 Platinum XT,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Graco,Snug Ride Snug Lock 35 Platinum XT,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Graco,Snug Ride Snug Lock 35 Platinum XT,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Graco,Snug Ride Snug Lock 35 Platinum XT,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
Rambler,Graco,Snug Ride Snug Lock 35 Platinum XT,S12045400,Graco SnugRide,EXACT_SOURCE_PAIR
