platform,car_seat_brand,car_seat_model,condition,source_column,pair_type
&Roll,Nuna,PIPA lite,,&Roll,EXACT_SOURCE_PAIR
&Roll,Nuna,PIPA RX,,&Roll,EXACT_SOURCE_PAIR
&Roll,Nuna,PIPA,,&Roll,EXACT_SOURCE_PAIR
&Roll,Cybex,Aton Q & M,,&Roll,COMBINED_SOURCE_ENTRY
&Roll,Maxi-Cosi,Mico Max 30,,&Roll,EXACT_SOURCE_PAIR
&Roll,Maxi-Cosi,Mico 30,,&Roll,EXACT_SOURCE_PAIR
&Roll,Maxi-Cosi,Nxt,,&Roll,EXACT_SOURCE_PAIR
&Roll,Maxi-Cosi,Mico AP,,&Roll,EXACT_SOURCE_PAIR
&Roll,Clek,Liing,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,Cyprus,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,Willow,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,Willow S,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,Willow SC,,&Roll,EXACT_SOURCE_PAIR
&Roll,Chicco,Fit2 (all models),,&Roll,FAMILY_OR_SYSTEM_CLAIM
&Roll,Chicco,Fit2 LE (all models),,&Roll,FAMILY_OR_SYSTEM_CLAIM
&Roll,Chicco,Keyfit (all models),,&Roll,FAMILY_OR_SYSTEM_CLAIM
&Roll,Chicco,Keyfit 35 (all models),,&Roll,FAMILY_OR_SYSTEM_CLAIM
&Roll,Chicco,Keyfit 30 (all models),,&Roll,FAMILY_OR_SYSTEM_CLAIM
&Jog,Graco,All Graco Click Connect Systems,,&Jog,FAMILY_OR_SYSTEM_CLAIM
&Jog,Graco,Baby Jogger City Go,,&Jog,EXACT_SOURCE_PAIR
&Jog,Graco,Baby Jogger City Mini GT,,&Jog,EXACT_SOURCE_PAIR
&Jog,Graco,SnugRide SnugLock (all models),,&Jog,FAMILY_OR_SYSTEM_CLAIM
&Jog,Graco,SnugRide Click Connect,,&Jog,FAMILY_OR_SYSTEM_CLAIM
&Jog,Britax,B-Safe 35,,&Jog,EXACT_SOURCE_PAIR
