id,provider,brand,title,canonicalBrand,canonicalName,tmbcCategory,productType,review_status,needs_review,active_in_feed,retailer,itemGroupId,price,productUrl
cmqsn9rs000dirfr6v89jbbfp,impact_goodbuygear,Cybex,"Cybex Mios3 Stroller, 2024, Rosegold, Sepia Black",Cybex,Mios3,Strollers,full-size stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,449.99,
cmqu6xx3n00dxqut1czs62mj6,awin_anbbaby,Cybex,Cybex Mios Color Pack / Comfort Inlay,Cybex,Cybex Mios Color Pack / Comfort Inlay,Strollers,compact stroller,AUTO_CATEGORIZED,f,t,ANB Baby,,59.99,
cmqsna6ru00i6rfr6atc9ngtb,impact_goodbuygear,Cybex,"Cybex Mios Seat And Frame, 2021, Chrome/Brown",Cybex,"Cybex Mios Seat And Frame, 2021, Chrome/Brown",Strollers,compact stroller,REVIEWED,f,t,GoodBuyGear,,247.28,
cmqsnf6ig021irfr6xxatg1lz,impact_goodbuygear,Cybex,"Cybex Mios Seat And Frame, 2022, Chrome/Brown",Cybex,"Cybex Mios Seat And Frame, 2022, Chrome/Brown",Strollers,compact stroller,REVIEWED,f,t,GoodBuyGear,,247.28,
cmqsnam6s00n0rfr6tyvbexxx,impact_goodbuygear,Cybex,"Cybex MIOS Stroller, 2024, Mirage Grey, Rose Gold",Cybex,MIOS,Strollers,compact stroller,REVIEWED,f,t,GoodBuyGear,,359.99,
cmqsn9ahz0086rfr6veqv5405,impact_goodbuygear,Cybex,"Cybex Priam4 Stroller, 2024, Chrome/Black, Mirage Grey",Cybex,"Cybex Priam4 Stroller, 2024, Chrome/Black, Mirage Grey",Strollers,full-size stroller,REVIEWED,f,t,GoodBuyGear,,599.99,
cmqsneed701surfr6ybrrt0kg,impact_goodbuygear,Cybex,"Cybex Priam4 Stroller, 2024, Chrome/Black, Sepia Black",Cybex,"Cybex Priam4 Stroller, 2024, Chrome/Black, Sepia Black",Strollers,full-size stroller,REVIEWED,f,t,GoodBuyGear,,599.99,
cmqsneudp01xrrfr6biuppj5p,impact_goodbuygear,Cybex,"Cybex Priam4 Stroller, 2024, Mirage Grey, Rosegold",Cybex,"Cybex Priam4 Stroller, 2024, Mirage Grey, Rosegold",Strollers,full-size stroller,REVIEWED,f,t,GoodBuyGear,,599.99,
cmqsnfwph029crfr62rz400iy,impact_goodbuygear,Cybex,"Cybex Priam4 Stroller, 2025, Rose Gold, Sepia Black",Cybex,"Cybex Priam4 Stroller, 2025, Rose Gold, Sepia Black",Strollers,full-size stroller,REVIEWED,f,t,GoodBuyGear,,599.99,
cmqphv59j04o0dqwr74bl73m8,babylist_impact,Cybex,Cybex Priam 4 Stroller in Rose Gold/Mirage Grey,Cybex,Cybex Priam 4 Stroller in Rose Gold/Mirage Grey,Strollers,full-size stroller,REVIEWED,f,t,Babylist,26547,1199.95,https://www.babylist.com/gp/cybex-priam-4-stroller/26547/2458471
cmqsnf0ke01zorfr6llntzsqw,impact_goodbuygear,Cybex,"Cybex Priam4 Stroller, Matte Black, Mirage Grey, 2024",Cybex,"Cybex Priam4 Stroller, Matte Black, Mirage Grey, 2024",Strollers,full-size stroller,REVIEWED,f,t,GoodBuyGear,,599.99,
cmqsndg8t01icrfr6hepsrlva,impact_goodbuygear,Cybex,"Cybex Priam4 Stroller, Rosegold, Mirage Grey, 2024",Cybex,"Cybex Priam4 Stroller, Rosegold, Mirage Grey, 2024",Strollers,full-size stroller,REVIEWED,f,t,GoodBuyGear,,599.99,
cmqphv5iv04o3dqwrtcr1ec0l,babylist_impact,Cybex,Cybex Priam Comfort Stroller in Matte Black Frame/Cozy Beige Lux Seat,Cybex,Cybex Priam Comfort Stroller in Matte Black Frame/Cozy Beige Lux Seat,Strollers,full-size stroller,REVIEWED,f,t,Babylist,82563,999.95,https://www.babylist.com/gp/cybex-priam-comfort-stroller/82563/3045817
cmqsnb8xu00txrfr6xtvrhe1y,impact_goodbuygear,Cybex,"Cybex PRIAM Stroller, Manhattan Grey, Rose Gold, unknown",Cybex,PRIAM,Strollers,full-size stroller,REVIEWED,f,t,GoodBuyGear,,634.45,
cmqsnbyy6011urfr6b5oz2blt,impact_goodbuygear,Cybex,"Cybex Talos S Lux Stroller, 2020, River Blue",Cybex,Talos S Lux,Strollers,full-size stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,183.34,
