brand,model,gbgPrice,originalPrice,pctOff,inStock,gbgTitle,url
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2024, Chrome, Sepia Black",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43839899107431&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-chrome-sepia-black-8&intsrc=APIG_26298
Graco,Modes Nest,208.99,429.99,51,true,"Graco Modes Nest Stroller, Nico, 2025",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=42161910480999&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fgraco-modes-nest-stroller-nico-2025&intsrc=APIG_26298
Silver Cross,Wave,690.99,1399.99,51,true,"Silver Cross Wave Stroller, 2023, Lunar",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41802507386983&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-wave-stroller-2023-lunar-5&intsrc=APIG_26298
Cybex,Coya,299.99,599.95,50,true,"Cybex Coya Stroller, Mirage Grey/Dark Grey, Rose Gold, unknown",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43941919883367&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fdraft-cybex-coya-stroller-mirage-grey-dark-grey-rose-gold-unknown&intsrc=APIG_26298
Silver Cross,Reef 2,599.99,1199.99,50,true,"Silver Cross Reef 2 Stroller, 2024, Stone",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44111809904743&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-reef-2-stroller-2024-stone-1&intsrc=APIG_26298
Silver Cross,Reef 2,599.99,1199.99,50,true,"Silver Cross Reef 2 Stroller, 2023, Stone",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44111875604583&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-reef-2-stroller-2023-stone-2&intsrc=APIG_26298
Silver Cross,Reef 2,599.99,1199.99,50,true,"Silver Cross Reef 2 Stroller, 2024, Stone",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44114220613735&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-reef-2-stroller-2024-stone-2&intsrc=APIG_26298
Silver Cross,Reef 2,599.99,1199.99,50,true,"Silver Cross Reef 2 Stroller, 2025, Frappe",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44103240089703&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-reef-2-stroller-2025-frappe-2&intsrc=APIG_26298
Silver Cross,Reef 2,599.99,1199.99,50,true,"Silver Cross Reef 2 Stroller, 2025, Frappe",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44112250568807&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-reef-2-stroller-2025-frappe-4&intsrc=APIG_26298
Silver Cross,Reef 2,599.99,1199.99,50,true,"Silver Cross Reef 2 Stroller, 2024, Nocturne",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44112380035175&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-reef-2-stroller-2024-nocturne-3&intsrc=APIG_26298
